Fund Name,,MorningstarCategory,BestFitIndex,ExpenseRatio2,No-LoadFunds,Front-endLoad,Back-endLoad,RedemptionFee,12b-1Fee,MinInitialPurchase,Symbol
Vanguard Long-Term Govt Bond I,,Long Government,XIUSA000ML,0.09,Yes,0,0,0,0,"5,000,000",VLGIX
Vanguard Materials Index Adm,,Natural Resources,Morningstar SEC/Basic Materials TR USD,0.12,Yes,0,0,0,0,"100,000",VMIAX
Vanguard Mega Cap Growth Index,,Large Growth,Russell 1000 Growth TR USD,0.1,Yes,0,0,0,0,"5,000,000",VMGAX
Vanguard Mega Cap Index Instit,,Large Blend,XIUSA0010W,0.08,Yes,0,0,0,0,"5,000,000",VMCTX
Vanguard Mega Cap Value Index,,Large Value,XIUSA0011A,0.08,Yes,0,0,0,0,"5,000,000",VMVLX
Vanguard Mid Cap Index Adm,,Mid-Cap Blend,XIUSA0010X,0.09,Yes,0,0,0,0,"10,000",VIMAX
Vanguard Mid Cap Index I,,Mid-Cap Blend,XIUSA0010X,0.08,Yes,0,0,0,0,"5,000,000",VMCIX
Vanguard Mid Cap Index InstlPl,,Mid-Cap Blend,XIUSA0010X,0.06,Yes,0,0,0,0,"100,000,000",VMCPX
Vanguard Mid Cap Index Inv,,Mid-Cap Blend,XIUSA0010X,0.24,Yes,0,0,0,0,"3,000",VIMSX
Vanguard Mid-Cap Growth Index,,Mid-Cap Growth,Russell Mid Cap Growth TR USD,0.09,Yes,0,0,0,0,"10,000",VMGMX
Vanguard Mid-Cap Growth Index,,Mid-Cap Growth,Russell Mid Cap Growth TR USD,0.24,Yes,0,0,0,0,"3,000",VMGIX
Vanguard Mid-Cap Value Index A,,Mid-Cap Value,Russell Mid Cap Value TR USD,0.09,Yes,0,0,0,0,"10,000",VMVAX
Vanguard Mid-Cap Value Index I,,Mid-Cap Value,Russell Mid Cap Value TR USD,0.24,Yes,0,0,0,0,"3,000",VMVIX
Vanguard Mortgage-Backed Sec I,,Intermediate-Term Bond,XIUSA000MN,0.12,Yes,0,0,0,0,"10,000",VMBSX
Vanguard Mortgage-Backed Sec I,,Intermediate-Term Bond,--,0.09,Yes,0,0,0,0,"5,000,000",VMBIX
Vanguard Pacific Stock Index A,,Diversified Pacific/Asia,MSCI Pacific NR USD,0.12,Yes,0,0,0,0,"10,000",VPADX
Vanguard Pacific Stock Index I,,Diversified Pacific/Asia,MSCI Pacific NR USD,0.09,Yes,0,0,0,0,"5,000,000",VPKIX
Vanguard Pacific Stock Index I,,Diversified Pacific/Asia,MSCI Pacific NR USD,0.26,Yes,0,0,0,0,"3,000",VPACX
Vanguard REIT Index Adm,,Real Estate,DJ US Select REIT TR USD,0.1,Yes,0,0,0,0,"10,000",VGSLX
Vanguard REIT Index I,,Real Estate,DJ US Select REIT TR USD,0.08,Yes,0,0,0,0,"5,000,000",VGSNX
Vanguard REIT Index Inv,,Real Estate,DJ US Select REIT TR USD,0.24,Yes,0,0,0,0,"3,000",VGSIX
Vanguard Russell 1000 Growth I,,Large Growth,Russell 1000 Growth TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRGWX
Vanguard Russell 1000 Index I,,Large Blend,Russell 1000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRNIX
Vanguard Russell 1000 Value In,,Large Value,Russell 1000 Value TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRVIX
Vanguard Russell 2000 Growth I,,Small Growth,Russell 2000 Growth TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRTGX
Vanguard Russell 2000 Index I,,Small Blend,Russell 2000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRTIX
Vanguard Russell 2000 Value In,,Small Value,--,0.08,Yes,0,0,0,0,"5,000,000",VRTVX
Vanguard Russell 3000 Index I,,Large Blend,Russell 3000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VRTTX
Vanguard S&P Mid-Cap 400 Growt,,Mid-Cap Growth,S&P MidCap 400 TR,0.08,Yes,0,0,0,0,"5,000,000",VMFGX
Vanguard S&P Mid-Cap 400 Index,,Mid-Cap Blend,S&P MidCap 400 TR,0.08,Yes,0,0,0,0,"5,000,000",VSPMX
Vanguard S&P Mid-Cap 400 Value,,Mid-Cap Value,S&P MidCap 400 TR,0.08,Yes,0,0,0,0,"5,000,000",VMFVX
Vanguard S&P Small-Cap 600 Ind,,Small Blend,Russell 2000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VSMSX
Vanguard Short-Term Bond Idx I,,Short-Term Bond,XIUSA000CT,0.07,Yes,0,0,0,0,"5,000,000",VBITX
Vanguard Short-Term Bond Idx I,,Short-Term Bond,XIUSA000CT,0.05,Yes,0,0,0,0,"100,000,000",VBIPX
Vanguard Short-Term Bond Index,,Short-Term Bond,XIUSA000CT,0.1,Yes,0,0,0,0,"10,000",VBIRX
Vanguard Short-Term Bond Index,,Short-Term Bond,XIUSA000CT,0.2,Yes,0,0,0,0,"3,000",VBISX
Vanguard Short-Term Corp Bd Id,,Short-Term Bond,XIUSA000CT,0.12,Yes,0,0,0,0,"10,000",VSCSX
Vanguard Short-Term Corp Bd Id,,Short-Term Bond,XIUSA000CT,0.09,Yes,0,0,0,0,"5,000,000",VSTBX
Vanguard Short-Term Govt Bd Id,,Short Government,XIUSA000BV,0.12,Yes,0,0,0,0,"10,000",VSBSX
Vanguard Short-Term Govt Bd Id,,Short Government,XIUSA000BV,0.09,Yes,0,0,0,0,"5,000,000",VSBIX
Vanguard Shrt-Term Infl-Prot S,,Inflation-Protected Bond,--,0.1,Yes,0,0,0,0,"10,000",VTAPX
Vanguard Shrt-Term Infl-Prot S,,Inflation-Protected Bond,--,0.07,Yes,0,0,0,0,"5,000,000",VTSPX
Vanguard Shrt-Term Infl-Prot S,,Inflation-Protected Bond,--,0.2,Yes,0,0,0,0,"3,000",VTIPX
Vanguard Small Cap Growth Inde,,Small Growth,Russell 2000 Growth TR USD,0.09,Yes,0,0,0,0,"10,000",VSGAX
Vanguard Small Cap Growth Inde,,Small Growth,Russell 2000 Growth TR USD,0.08,Yes,0,0,0,0,"5,000,000",VSGIX
Vanguard Small Cap Growth Inde,,Small Growth,Russell 2000 Growth TR USD,0.24,Yes,0,0,0,0,"3,000",VISGX
Vanguard Small Cap Index Adm,,Small Blend,XIUSA0010Y,0.09,Yes,0,0,0,0,"10,000",VSMAX
Vanguard Small Cap Index I,,Small Blend,XIUSA0010Y,0.08,Yes,0,0,0,0,"5,000,000",VSCIX
Vanguard Small Cap Index Instl,,Small Blend,XIUSA0010Y,0.06,Yes,0,0,0,0,"100,000,000",VSCPX
Vanguard Small Cap Index Inv,,Small Blend,XIUSA0010Y,0.24,Yes,0,0,0,0,"3,000",NAESX
Vanguard Small Cap Value Index,,Small Value,XIUSA00116,0.09,Yes,0,0,0,0,"10,000",VSIAX
Vanguard Small Cap Value Index,,Small Value,XIUSA00116,0.08,Yes,0,0,0,0,"5,000,000",VSIIX
Vanguard Small Cap Value Index,,Small Value,XIUSA00116,0.24,Yes,0,0,0,0,"3,000",VISVX
Vanguard Tax-Managed Capital A,,Large Blend,Russell 1000 TR USD,0.12,Yes,0,0,0,0,"10,000",VTCLX
Vanguard Tax-Managed Capital A,,Large Blend,Russell 1000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VTCIX
Vanguard Tax-Managed Small Cap,,Small Blend,Russell 2000 TR USD,0.12,Yes,0,0,0,0,"10,000",VTMSX
Vanguard Tax-Managed Small Cap,,Small Blend,Russell 2000 TR USD,0.08,Yes,0,0,0,0,"5,000,000",VTSIX
Vanguard Telecom Services Inde,,Communications,Morningstar SEC/Communication Svc TR USD,0.12,Yes,0,0,0,0,"100,000",VTCAX
Vanguard Total Bond Market Idx,,Intermediate-Term Bond,XIUSA000MC,0.05,Yes,0,0,0,0,"100,000,000",VBMPX
Vanguard Total Bond Market Ind,,Intermediate-Term Bond,XIUSA000MC,0.08,Yes,0,0,0,0,"10,000",VBTLX
Vanguard Total Bond Market Ind,,Intermediate-Term Bond,XIUSA000MC,0.07,Yes,0,0,0,0,"5,000,000",VBTIX
Vanguard Total Bond Market Ind,,Intermediate-Term Bond,XIUSA000MC,0.2,Yes,0,0,0,0,"3,000",VBMFX
Vanguard Total Intl Bd Idx Adm,,World Bond,--,0.2,Yes,0,0,0,0,"10,000",VTABX
Vanguard Total Intl Bd Idx Ins,,World Bond,--,0.12,Yes,0,0,0,0,"5,000,000",VTIFX
Vanguard Total Intl Bd Idx Inv,,World Bond,--,0.23,Yes,0,0,0,0,"3,000",VTIBX
Vanguard Total Intl Stock Idx,,Foreign Large Blend,MSCI ACWI Ex USA NR USD,0.1,Yes,0,0,0,0,"100,000,000",VTPSX
Vanguard Total Intl Stock Inde,,Foreign Large Blend,MSCI ACWI Ex USA NR USD,0.14,Yes,0,0,0,0,"10,000",VTIAX
Vanguard Total Intl Stock Inde,,Foreign Large Blend,MSCI ACWI Ex USA NR USD,0.12,Yes,0,0,0,0,"5,000,000",VTSNX
Vanguard Total Intl Stock Inde,,Foreign Large Blend,MSCI ACWI Ex USA NR USD,0.22,Yes,0,0,0,0,"3,000",VGTSX
Vanguard Total Stock Market Id,,Large Blend,Russell 3000 TR USD,0.04,Yes,0,0,0,0,"5,000,000",VITSX
Vanguard Total Stock Mkt Idx A,,Large Blend,Russell 3000 TR USD,0.05,Yes,0,0,0,0,"10,000",VTSAX
Vanguard Total Stock Mkt Idx I,,Large Blend,Russell 3000 TR USD,0.17,Yes,0,0,0,0,"3,000",VTSMX
Vanguard Total World Stock Ind,,World Stock,MSCI ACWI NR USD,0.16,Yes,0,0,0,0,"5,000,000",VTWIX
Vanguard Total World Stock Ind,,World Stock,MSCI ACWI NR USD,0.3,Yes,0,0,0,0,"3,000",VTWSX
Vanguard Utilities Index Adm,,Utilities,Morningstar SEC/Utilities TR USD,0.12,Yes,0,0,0,0,"100,000",VUIAX
Vanguard Value Index Adm,,Large Value,Russell 1000 Value TR USD,0.09,Yes,0,0,0,0,"10,000",VVIAX
Vanguard Value Index I,,Large Value,Russell 1000 Value TR USD,0.08,Yes,0,0,0,0,"5,000,000",VIVIX
Vanguard Value Index Inv,,Large Value,Russell 1000 Value TR USD,0.24,Yes,0,0,0,0,"3,000",VIVAX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"5,000,000",VSPVX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"5,000,000",VSPGX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"5,000,000",VSMVX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"5,000,000",VSGNX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"100,000,000",VPAPX
S&P 500 Value Index Institutional Shares,,US Stock,Large-Cap Value,0.08,Yes,0,0,0,0,"5,000,000",VGIVX
